Date,Currency,Mean,Buy,Sell
03/02/2010,SW KRONER,10.5262,10.5102,10.5422
03/02/2010,NOR KRONER,13.027,12.9955,13.0586
03/02/2010,DAN KRONER,14.2827,14.2584,14.3069
03/02/2010,IND RUPEE,1.6523,1.65,1.6546
03/02/2010,HONGKONG $,9.8021,9.7893,9.8149
03/02/2010,SINGAPORE $,54.034,53.941,54.127
03/02/2010,SAUDI RIYAL,20.2987,20.2716,20.3258
03/02/2010,CHINESE YUAN,11.1506,11.1357,11.1656
03/02/2010,AUSTRALIAN $,67.5136,67.4185,67.6086
03/02/2010,US DOLLAR,76.1231,76.0244,76.2217
03/02/2010,STG POUND,121.953,121.788,122.118
04/02/2010,US DOLLAR,76.0889,76.0056,76.1722
04/02/2010,STG POUND,120.933,120.782,121.084
04/02/2010,EURO,105.633,105.506,105.761
04/02/2010,SA RAND,10.09,10.0685,10.1114
04/02/2010,KES/USHS,25.9238,25.7312,26.1165
04/02/2010,KES/TSHS,17.6636,17.618,17.7092
04/02/2010,AE DIRHAM,20.7163,20.6931,20.7396
04/02/2010,CAN $,71.6899,71.5741,71.8058
04/02/2010,S FRANC,71.8041,71.7112,71.8969
04/02/2010,JPY(100),83.8152,83.6803,83.9501
04/02/2010,SW KRONER,10.4517,10.4373,10.4661
04/02/2010,NOR KRONER,12.9494,12.9289,12.97
04/02/2010,DAN KRONER,14.1804,14.1635,14.1972
04/02/2010,IND RUPEE,1.6511,1.6491,1.6531
04/02/2010,HONGKONG $,9.7962,9.785,9.8074
04/02/2010,SINGAPORE $,53.8302,53.7522,53.9082
04/02/2010,SAUDI RIYAL,20.2909,20.2682,20.3137
04/02/2010,CHINESE YUAN,11.1453,11.1326,11.158
04/02/2010,AUSTRALIAN $,66.943,66.8621,67.0239
05/02/2010,US DOLLAR,76.5819,76.475,76.6889
05/02/2010,STG POUND,120.436,120.259,120.613
05/02/2010,EURO,105.081,104.928,105.234
05/02/2010,SA RAND,9.9894,9.9426,10.0363
05/02/2010,KES/USHS,25.8548,25.7534,25.9562
05/02/2010,KES/TSHS,17.5956,17.5384,17.6528
05/02/2010,AE DIRHAM,20.8505,20.8209,20.8802
05/02/2010,CAN $,71.3712,71.2548,71.4876
05/02/2010,S FRANC,71.4589,71.3491,71.5686
05/02/2010,JPY(100),85.2276,85.0951,85.3601
05/02/2010,SW KRONER,10.3269,10.3064,10.3475
05/02/2010,NOR KRONER,12.8755,12.8501,12.9009
05/02/2010,DAN KRONER,14.1086,14.0879,14.1292
05/02/2010,IND RUPEE,1.648,1.6451,1.6509
05/02/2010,HONGKONG $,9.8551,9.8411,9.8691
05/02/2010,SINGAPORE $,53.9101,53.8102,54.0101
05/02/2010,SAUDI RIYAL,20.4219,20.3928,20.4509
05/02/2010,CHINESE YUAN,11.2169,11.2009,11.2329
05/02/2010,AUSTRALIAN $,66.4157,66.3038,66.5276
08/02/2010,US DOLLAR,76.8764,76.7778,76.975
